12-01-2017 22:21:14.294,81,RECV,3631302C3630322C363538
12-01-2017 22:21:14.345,82,RECV,0D0A
12-01-2017 22:21:14.399,83,RECV,3633332C3531372C3638350D0A
12-01-2017 22:21:14.501,84,RECV,3634362C3531372C3637350D0A
12-01-2017 22:21:14.564,85,RECV,3633322C3533332C3637360D0A
12-01-2017 22:21:14.654,86,RECV,3633372C3537342C3636380D0A
12-01-2017 22:21:14.755,87,RECV,3633362C3533362C3635380D0A
12-01-2017 22:21:14.806,88,RECV,3633382C3433342C3632390D0A
12-01-2017 22:21:14.915,89,RECV,3539392C3430362C3730310D0A
12-01-2017 22:21:14.997,90,RECV,3539352C3438342C37
12-01-2017 22:21:15.019,91,RECV,31380D0A
12-01-2017 22:21:15.102,92,RECV,3537302C3434312C3732330D0A
12-01-2017 22:21:15.172,93,RECV,3534332C3436362C3730300D0A
12-01-2017 22:21:15.222,94,RECV,3534332C3438312C3730360D
12-01-2017 22:21:15.272,95,RECV,0A
12-01-2017 22:21:15.328,96,RECV,3534332C3439392C3732300D0A
12-01-2017 22:21:15.428,97,RECV,3534312C3439342C3735330D0A
12-01-2017 22:21:15.479,98,RECV,3536342C3439322C3731320D0A
12-01-2017 22:21:15.586,99,RECV,3539302C3436362C3637360D0A
12-01-2017 22:21:15.684,100,RECV,3538342C3632
12-01-2017 22:21:15.694,101,RECV,342C3636360D0A
12-01-2017 22:21:15.813,102,RECV,3630322C3532302C3730360D0A
12-01-2017 22:21:15.852,103,RECV,3539312C3538312C3639300D0A
12-01-2017 22:21:15.943,104,RECV,3538372C3536342C36
12-01-2017 22:21:15.955,105,RECV,38360D0A
12-01-2017 22:21:16.095,106,RECV,3633362C3630372C3638390D0A
12-01-2017 22:21:16.214,107,RECV,36
12-01-2017 22:21:16.215,108,RECV,30322C3538312C3638310D0A
12-01-2017 22:21:16.215,109,RECV,3630322C3538302C3638320D0A
12-01-2017 22:21:16.270,110,RECV,3630332C3537372C3638320D0A
12-01-2017 22:21:16.346,111,RECV,3630332C
12-01-2017 22:21:16.370,112,RECV,3537372C3638320D0A
12-01-2017 22:21:16.484,113,RECV,3630332C3537382C3638320D0A
12-01-2017 22:21:16.524,114,RECV,3630332C3537382C3638310D0A
12-01-2017 22:21:16.627,115,RECV,3630332C3537382C3638320D0A
12-01-2017 22:21:16.679,116,RECV,3630332C3537382C3638320D0A
12-01-2017 22:21:16.782,117,RECV,3630332C3537382C3638320D0A
12-01-2017 22:21:16.901,118,RECV,3630332C3537382C3638320D0A
12-01-2017 22:21:17.046,119,RECV,3630332C3537382C3638310D0A
12-01-2017 22:21:17.184,120,RECV,3630
12-01-2017 22:21:17.185,121,RECV,332C3537382C3638320D0A
12-01-2017 22:21:17.185,122,RECV,3630332C3537382C3638310D0A
12-01-2017 22:21:17.199,123,RECV,3630332C3537382C3638320D0A
12-01-2017 22:21:17.329,124,RECV,3630332C3537382C3638310D0A
12-01-2017 22:21:17.350,125,RECV,3630332C3537382C3638310D0A
12-01-2017 22:21:17.479,126,RECV,3630332C3537382C3638310D0A
12-01-2017 22:21:17.506,127,RECV,3630332C3537382C3638310D0A
12-01-2017 22:21:17.617,128,RECV,3630332C3537382C3638310D0A
12-01-2017 22:21:17.715,129,RECV,3630332C3537382C3638320D0A
12-01-2017 22:21:17.765,130,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:17.891,131,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:17.918,132,RECV,363033
12-01-2017 22:21:18.029,133,RECV,2C3537382C3638310D0A
12-01-2017 22:21:18.029,134,RECV,3630332C3537382C3638310D0A
12-01-2017 22:21:18.132,135,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:18.186,136,RECV,3630332C3537382C3638310D0A
12-01-2017 22:21:18.300,137,RECV,3630
12-01-2017 22:21:18.300,138,RECV,342C3537382C3638310D0A
12-01-2017 22:21:18.343,139,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:18.449,140,RECV,3630332C3537382C3638310D0A
12-01-2017 22:21:18.575,141,RECV,3630342C35
12-01-2017 22:21:18.576,142,RECV,37382C3638310D0A
12-01-2017 22:21:18.607,143,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:18.719,144,RECV,3630332C3537382C3638310D0A
12-01-2017 22:21:18.857,145,RECV,3630332C3537382C
12-01-2017 22:21:18.857,146,RECV,3638310D0A
12-01-2017 22:21:18.865,147,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:18.993,148,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:19.017,149,RECV,3630342C3537382C363831
12-01-2017 22:21:19.142,150,RECV,0D0A
12-01-2017 22:21:19.142,151,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:19.175,152,RECV,363034
12-01-2017 22:21:19.296,153,RECV,2C3537382C3638310D0A
12-01-2017 22:21:19.433,154,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:19.433,155,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:19.434,156,RECV,3630332C3537
12-01-2017 22:21:19.484,157,RECV,382C3638310D0A
12-01-2017 22:21:19.585,158,RECV,3630332C3537382C3638310D0A
12-01-2017 22:21:19.729,159,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:19.875,160,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:20.028,161,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:20.185,162,RECV,3630342C3537392C3638310D0A
12-01-2017 22:21:20.348,163,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:20.514,164,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:20.691,165,RECV,3630342C
12-01-2017 22:21:20.883,166,RECV,3537382C3638310D0A
12-01-2017 22:21:21.072,167,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:21.253,168,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:21.439,169,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:21.621,170,RECV,3630342C3537392C3638310D0A
12-01-2017 22:21:21.808,171,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:21.997,172,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:22.204,173,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:22.396,174,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:22.585,175,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:22.755,176,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:22.940,177,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:23.119,178,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:23.292,179,RECV,3630342C3537382C363831
12-01-2017 22:21:23.467,180,RECV,0D0A
12-01-2017 22:21:23.669,181,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:23.851,182,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:24.027,183,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:24.204,184,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:24.391,185,RECV,3630342C3537
12-01-2017 22:21:24.570,186,RECV,382C3638310D0A
12-01-2017 22:21:24.768,187,RECV,3630342C3537392C3638310D0A
12-01-2017 22:21:24.938,188,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:25.114,189,RECV,3630342C3537382C36
12-01-2017 22:21:25.296,190,RECV,38310D0A
12-01-2017 22:21:25.497,191,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:25.693,192,RECV,36
12-01-2017 22:21:25.898,193,RECV,30342C3537382C3638310D0A
12-01-2017 22:21:26.125,194,RECV,3630342C3537382C3638310D
12-01-2017 22:21:26.315,195,RECV,0A
12-01-2017 22:21:26.512,196,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:26.716,197,RECV,3630342C
12-01-2017 22:21:26.928,198,RECV,3537382C3638310D0A
12-01-2017 22:21:27.145,199,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:27.369,200,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:27.559,201,RECV,3630342C353738
12-01-2017 22:21:27.764,202,RECV,2C3638310D0A
12-01-2017 22:21:27.957,203,RECV,3630342C3537392C3638310D0A
12-01-2017 22:21:28.150,204,RECV,3630342C3537392C3638310D0A
12-01-2017 22:21:28.337,205,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:28.526,206,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:28.718,207,RECV,3630
12-01-2017 22:21:28.943,208,RECV,342C3537392C3638310D0A
12-01-2017 22:21:29.148,209,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:29.334,210,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:29.524,211,RECV,3630342C35
12-01-2017 22:21:29.713,212,RECV,37392C3638310D0A
12-01-2017 22:21:29.963,213,RECV,3630342C3537392C3638310D0A
12-01-2017 22:21:30.163,214,RECV,3630342C3537392C3638310D0A
12-01-2017 22:21:30.358,215,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:30.556,216,RECV,3630342C3537392C3638310D0A
12-01-2017 22:21:30.788,217,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:31.011,218,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:31.236,219,RECV,3630342C3537392C3638310D0A
12-01-2017 22:21:31.462,220,RECV,363034
12-01-2017 22:21:31.683,221,RECV,2C3537392C3638310D0A
12-01-2017 22:21:31.918,222,RECV,3630342C3537392C3638310D0A
12-01-2017 22:21:32.154,223,RECV,3630342C3537382C3638
12-01-2017 22:21:32.387,224,RECV,310D0A
12-01-2017 22:21:32.618,225,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:32.826,226,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:33.029,227,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:33.243,228,RECV,3630342C3537382C3638310D0A
12-01-2017 22:21:33.460,229,RECV,3630352C35
12-01-2017 22:21:33.671,230,RECV,37382C3638310D0A
12-01-2017 22:21:33.896,231,RECV,3630332C3630382C3638380D0A
12-01-2017 22:21:34.119,232,RECV,3538332C3535362C3639320D0A
12-01-2017 22:21:34.342,233,RECV,3539382C353433
12-01-2017 22:21:34.565,234,RECV,2C3731300D0A
12-01-2017 22:21:34.800,235,RECV,3535352C3438312C3639360D0A
12-01-2017 22:21:35.028,236,RECV,3537362C3434372C3639380D0A
12-01-2017 22:21:35.249,237,RECV,3539322C3335392C3637
12-01-2017 22:21:35.484,238,RECV,300D0A
12-01-2017 22:21:35.741,239,RECV,3631302C3331312C3632390D0A
12-01-2017 22:21:36.019,240,RECV,3632
12-01-2017 22:21:36.292,241,RECV,312C3238332C3634320D0A
12-01-2017 22:21:36.570,242,RECV,3539312C3337322C3730360D0A
12-01-2017 22:21:36.864,243,RECV,3539362C3435342C3535320D0A
12-01-2017 22:21:37.198,244,RECV,3535342C3533302C3833320D0A
12-01-2017 22:21:37.500,245,RECV,3537322C3530322C3736390D0A
12-01-2017 22:21:37.752,246,RECV,3632392C3436312C3530320D
12-01-2017 22:21:38.004,247,RECV,0A
